prism_consumer_id,checking_month4_EMA,checking_month7_EMA,checking_month2_SMA,checking_month5_SMA,checking_month7_SMA,SAVINGS_acct_count,Predictions_cat_proba,CHECKING_balance_std_diff_regress_coeff,CHECKING_balance_std_regress_coeff,DEPOSIT_inflow_over_outflow,INVESTMENT_INCOME_inflow_over_outflow,PAYCHECK_PLACEHOLDER_inflow_over_outflow,REFUND_inflow_over_outflow,SMALL_DOLLAR_ADVANCE_inflow_over_outflow,TAX_inflow_over_outflow,EXTERNAL_TRANSFER_inflow_over_inflow,MISCELLANEOUS_inflow_over_inflow,PAYCHECK_PLACEHOLDER_inflow_over_inflow,SMALL_DOLLAR_ADVANCE_inflow_over_inflow,EXTERNAL_TRANSFER_inflow_over_income,MISCELLANEOUS_inflow_over_income,PAYCHECK_PLACEHOLDER_inflow_over_income,REFUND_inflow_over_income,SMALL_DOLLAR_ADVANCE_inflow_over_income,TAX_inflow_over_income,BNPL_outflow_over_income,CREDIT_CARD_PAYMENT_outflow_over_income,EDUCATION_outflow_over_income,GIFTS_DONATIONS_outflow_over_income,HOME_IMPROVEMENT_outflow_over_income,OVERDRAFT_outflow_over_income,PAYCHECK_outflow_over_income,PETS_outflow_over_income,RENT_outflow_over_income,TAX_outflow_over_income
874,0.16753378953251613,-0.5310272446513313,-1.1333493223995281,-0.33612985440098186,-0.5664522222929792,0.0,0.09494789083107372,0.0020161062363969725,-0.0067582576376280495,0.01844486661276003,7.18144951327462e-06,0.20089941318580667,0.002763854771869903,0.0,0.04334839096719393,0.004118053690252354,0.002289441399634623,0.22648961923049815,0.0,0.00446257472272525,0.0024809786582807034,0.24543799711259964,0.003376590149073542,0.0,0.052958553180053006,0.0,0.10684626376858322,0.04756327292294161,0.0022771872083480822,0.004163564475673113,0.0,0.0,0.014461838647877598,0.0,0.061363224810354285
475,-0.283918975293309,0.05128902310602923,-0.3528995325055908,-0.21163219558660806,0.05400078287424237,0.0,0.22153830216426487,0.005998579162875844,-0.0031229951013172514,0.024319729312656004,0.0,0.0,6.516953482273364e-05,0.0,0.0,0.09415731623913658,0.07517714739685474,0.0,0.0,0.14078140511811194,0.11240278361822682,0.0,0.00013520338490750897,0.0,0.0,0.0,0.030644565203254853,0.0,0.0,0.00861887710201976,0.0,0.0,0.0,0.0,0.01373709742447035
626,-0.6189808026593827,0.8371372105526352,-0.6915157502181842,-0.3694999291652185,1.102939295504272,1.0,0.021660569885264717,-0.0021991105855349974,-0.003353106593367319,0.0077141359133932426,4.744824648415084e-06,0.00014803852903055062,0.0022140406214982205,0.0,0.02064114706663078,0.0927997733016145,0.5036695120862534,0.00015220186173013734,0.0,0.24362159593148178,1.3222529106582315,0.00039956628275290926,0.0059758495763857465,0.0,0.055711891081191074,0.0,0.8501178208269655,0.0,0.0,0.0686432960234048,0.0,0.0,0.011337124090374837,0.0,0.0
5009,-0.6064060849482514,-0.4449839077105955,-0.4992374623870259,-0.24498590554213612,-0.5449141259821739,0.0,0.17843615170156205,-0.00017984781554084003,-0.0018129242155452954,0.044798579262448186,0.0,0.00681435355499259,0.00017193939204611098,0.0,0.15902224377559565,0.025004573030458183,0.02641901476620048,0.006826326796642148,0.0,0.033598126342090404,0.03549868237570505,0.009172393781193774,0.00023143733262717412,0.0,0.2140503318631139,0.0,0.0,0.0,0.019723066125834163,0.004720520648898887,0.002569671897951321,0.0,0.0,0.0,0.0
4028,0.6115440040338896,-0.28803483488483367,2.2460195012780577,-0.2713338209391102,-0.3925085153161202,0.0,0.2633542521284577,1.1893711878569184e-05,0.002344487592743884,0.11901980186307759,0.0019267707294921125,0.3321521070425452,0.017344469951394433,0.0,0.02201453081934458,0.14851154567509187,0.24057702709433626,0.3293309057487176,0.0,0.36446592462117705,0.5904061413136119,0.8082192702554795,0.04220396182911622,0.0,0.053567530226591026,0.05347332912668104,0.06207329144624108,0.0009341609074406908,0.0,0.0006844532299015224,0.0,0.0,0.0,0.0,0.0
4696,1.392013004564299,-0.06781769239927898,1.2344569050605299,0.7157307283366908,-0.283059880092958,0.0,0.1521593091674455,-0.002436027609667291,0.006125054962678067,0.7973277624884391,0.0,0.0,0.009334851544708459,0.0,0.0,0.09150466212089618,0.0,0.0,0.0,0.1494174660067378,0.0,0.0,0.014268341395820568,0.0,0.0,0.0,0.1538294032969884,0.0,0.0,0.0,0.0,0.0,0.0,0.01779767589339644,0.0
299,1.3369635715704282,-0.457610675146161,-0.2053601993074181,-0.34032312954866967,-0.6396372083963631,0.0,0.03506011208039255,-0.002350424391430502,-0.0027312881838608624,0.2079075460909098,0.0,0.016013846466614377,0.034540927352115086,0.0,0.06430745248722315,0.04096665406075844,4.6469637442054355e-06,0.015942020567094664,0.0,0.06267381459963126,7.109268521749217e-06,0.02438928109392934,0.05260624848577258,0.0,0.09794102487589182,0.0,0.3488495613300693,0.0025764550380860353,0.0007307579696303275,0.004459195137260332,0.0,0.0,0.00037520100053600145,0.0,0.0
4405,1.4998892717020986,0.0,-0.5032086895532035,0.0,0.0,0.0,0.15755064123282567,-0.00808299966114234,-0.019672782602630775,0.9060825733098851,0.00019170995051327145,0.0,0.0,0.0,0.0,0.0,0.09445021952396886,0.0,0.0,0.0,0.14962633876730233,0.0,0.0,0.0,0.0,0.0,0.1414086239474973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915,0.07376822623735524,0.14031656240482404,0.3104805299151082,-1.229448903611663,0.2377879234179975,0.0,0.08011465556393485,-0.001798968971494467,-0.003556212978633815,0.042180613935854386,0.007841496817454555,0.7680531053007087,0.0039904843216311756,0.0,0.0,0.008825607902978108,0.0011362637685335107,0.7862950066104282,0.0,0.011224295247542732,0.0014450857275000917,0.9999999323430063,0.0051955835138309155,0.0,0.0,0.0,0.06321828893027392,0.0,0.00033828496828037163,0.007027599588050097,0.0,0.0,0.00018544781961129974,0.0,0.029406774007644427
3679,-0.1629552791452353,-0.21517650071749456,-0.4380464024443365,1.155790986722426,-0.21517650071749456,0.0,0.23061376439020703,-0.004294390303594325,-0.008538134685031961,0.016988018820846825,0.0,0.11835715148826188,0.0,0.0,0.2588281523119737,0.036932686215292186,0.5703763843267313,0.11791203807722687,0.0,0.09095527880308958,1.4046837199092044,0.2903856555420021,0.0,0.0,0.6350269648834161,0.0,0.03960431890755447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
