prism_consumer_id,amount
875,87604.56999999999
876,102867.26
879,66292.26
880,38574.97
881,178486.02
884,52737.28
885,82423.28
888,20022.12
891,131900.38999999998
892,96700.72
894,173313.91
896,7370.27
898,42060.75
900,93498.19
903,435899.17000000004
904,96139.77
906,151453.63
907,133687.19
908,23959.98
911,25647.04
912,60024.34
914,126967.62
916,6851.42
917,3736.94
918,22840.62
920,0.17
922,27584.37
927,148320.22
928,38775.43
929,57973.05
930,36351.090000000004
932,127736.26000000001
934,12719.960000000001
935,76899.73
941,28961.6
943,20554.72
945,73298.65
948,143128.21
949,318268.12
950,242415.14
951,86412.36
952,225235.08000000002
953,1389.58
957,171956.38
964,24512.47
966,9992.31
967,121015.84
973,130.48
975,100842.47
976,44965.75
977,191738.78
979,143051.58000000002
981,0.03
984,46443.439999999995
987,100830.07
991,57183.31
995,64426.45
996,61251.06
997,87129.2
1000,51565.0
1005,86309.96
1008,67962.18
1009,85687.38
1010,71318.32
1019,132107.27
1021,77572.72
1025,26961.71
1027,41557.8
1028,79273.37
1032,97569.83
1034,8592.619999999999
1036,111931.72
1038,72394.7
1039,165911.46
1041,39420.75
1042,42902.48
1043,15884.279999999999
1045,74915.24
1046,30657.64
1047,80056.21
1048,191415.48
1051,95500.1
1052,60585.96
1053,20132.95
1055,150779.85
1057,46650.74
1058,8059.9
1060,210928.15
1061,94601.70999999999
1065,73770.51
1067,26487.7
1068,0.24000000000000002
1069,117517.05
1070,79033.53
1071,177643.47
1075,81064.14
1076,76869.13
1077,114858.85
1078,43043.38
1079,1225.4299999999998
1081,239789.98
1082,24184.3
1084,62397.81
1085,103283.6
1086,71402.07
1087,38626.05
1089,38641.73
1091,223412.95
1092,134486.38
1094,407267.12
1097,72497.31
1098,84360.04
1100,94857.42
1101,116711.95
1104,78236.55
1106,99760.0
1115,114844.22
1116,151668.35
1117,26094.670000000002
1118,50559.42
1119,53219.99
1120,17432.510000000002
1122,43604.62
1123,103935.31
1124,91240.54
1127,32423.57
1128,90237.33
1130,60.0
1131,83590.69
1133,13014.43
1134,16328.34
1137,440648.25
1141,46412.69
1142,11256.210000000001
1147,99032.63
1149,67750.68
1152,142817.18
1154,73223.98
1155,2196.91
1156,121287.9
1157,48959.08
1159,54810.15
1162,64008.57
1164,98358.96
1165,39744.17
1166,135892.21
1168,17059.39
1173,74852.58
1174,586802.47
1176,4054.34
1177,870361.15
1180,474991.84
1182,128919.81
1183,224528.95
1184,47870.37
1187,71364.09
1189,69057.56
1190,45338.24
