prism_consumer_id,CHECKING_acct_count,CREDIT CARD_acct_count,SAVINGS_acct_count,Predictions_cat_proba,Predictions_cat_income_proba,DEPOSIT_inflow_over_outflow,EXTERNAL_TRANSFER_inflow_over_outflow,TAX_inflow_over_outflow,TAX_inflow_over_inflow,SMALL_DOLLAR_ADVANCE_inflow_over_income,CREDIT_CARD_PAYMENT_outflow_over_income,INSURANCE_outflow_over_income,LOAN_outflow_over_income
3156,1.0,0.0,0.0,0.3007649723352729,0.2417485183932083,0.5308014528247984,0.04782388313053512,0.0,0.0,0.0,0.0,0.02771600543401298,0.09052944514274051
2863,1.0,0.0,0.0,0.18293423885579624,0.23509891004847547,0.13642867602781125,0.07413161823571901,0.0,0.0,0.28166243265600055,0.0,0.001651863055434869,0.263806994447693
2721,1.0,0.0,0.0,0.3301443366044341,0.24039566206495233,0.0,0.19832519614612792,0.0,0.0,0.04611476920787738,0.0,0.0,0.09945111127370837
5606,1.0,0.0,0.0,0.2313639817001708,0.2189137450101099,0.2462262987094454,0.44710812425828195,0.0,0.0,0.0,0.057561724019325626,0.045791001511021584,0.05726512901625797
3647,1.0,0.0,0.0,0.1678270881741974,0.23615740239109728,0.058008666317129275,1.2663666810029337,0.0,0.0,0.27359249897623455,0.0,0.0,0.24991350946806562
2385,1.0,0.0,0.0,0.4107100625996445,0.23374435663667434,0.0,0.19132061905958028,0.0,0.0,0.08631404502140588,0.0,0.0,0.5838799889518023
4952,1.0,0.0,0.0,0.22376403498722772,0.12759532719275946,0.0306708435541877,0.0006357189243520978,0.0,0.0,0.0,0.28903982710713183,0.023272909040121144,0.2910951351828166
3845,1.0,0.0,0.0,0.373146551988202,0.23329767061271614,0.0,0.16232081624319145,0.03867426539914364,0.03808879420577175,0.0,0.0,0.0,0.0070293812339215596
30,1.0,0.0,0.0,0.19703935415493176,0.2353846284363148,0.14291751356211366,0.08222003501564278,0.0,0.0,0.0,0.0,0.028781814411669177,0.28331781307153453
2542,1.0,0.0,0.0,0.10106639389131171,0.2286783287121105,0.03178067106703284,0.09797570133506532,0.41835688870141996,0.42223151819532717,0.0,0.004630217251088586,0.0,1.0382831542982662
3096,1.0,0.0,0.0,0.22064180789590623,0.22782356941227289,0.010904599213995414,0.045802231253744385,0.0,0.0,0.026491685686338442,0.02789126181936746,0.009060156504727747,0.21539656015650474
2114,1.0,0.0,0.0,0.14745405981937168,0.23610989124445528,0.040430919505421936,0.05432916889493116,0.0,0.0,0.18653966639165795,0.0,0.08335511839702106,0.24639527351258228
799,1.0,0.0,1.0,0.2718399712162193,0.23136150834626387,0.1101165771809749,0.08260120943748901,0.008984707668160485,0.010149981540566906,0.0,0.007104709151617345,0.031814576425797145,0.029252732395943882
5531,1.0,0.0,0.0,0.1313147056274707,0.2121338311872548,0.5957269574368447,0.22656759628178327,0.0,0.0,0.0,0.06590577695438565,0.0706410296111492,0.004779683517631647
5483,1.0,0.0,0.0,0.18146110842023563,0.22116685043526219,0.03493540833168205,0.13001810804831035,0.0,0.0,0.21131021907421205,0.053407887147346074,0.016772590621153417,0.38648464000013594
652,1.0,2.0,0.0,0.06769696020364172,0.1551713473275721,0.03823908568688534,0.7505621745622687,0.0,0.0,0.0,0.2839842909898896,1.4376061672154489e-05,0.2548973491692361
4556,1.0,0.0,0.0,0.2782139462790976,0.23498838253564844,0.034394676264389544,0.002723560337677905,0.06004594568473653,0.060288821300570915,0.0,0.0,0.061728752024636825,0.01838474504602495
1232,1.0,0.0,1.0,0.04346089812389038,0.15134773150275274,0.001253835168321102,0.04922556870828647,0.00724716727289597,0.007118482585826978,0.0,0.30767591259513977,0.007310468314181844,0.010142964841485181
5314,1.0,0.0,0.0,0.21750732042653312,0.15157068890888736,0.28905352990976385,0.4664082210856955,0.0,0.0,0.0,0.32868869406852996,0.0,0.35868542901359834
4724,1.0,0.0,0.0,0.11148907874169091,0.1758402957177353,0.3598262391875214,0.1214009601426622,0.0,0.0,0.0,0.17173539320735465,0.02940897119821765,0.12061009249623138
3686,1.0,0.0,0.0,0.17972693418598154,0.5150467905186427,0.053760094168359876,0.07043652128568048,0.0,0.0,0.07890666919168007,0.6302012646108849,0.0,1.3330913528811454
1749,2.0,0.0,0.0,0.008442403525561639,0.09414622841395305,0.055100691653571295,0.03211967171732906,0.09059365846368782,0.0906464716355711,0.0,0.5895106446277845,0.0,0.3383854273037321
2297,1.0,0.0,0.0,0.1727573118488374,0.224427572172643,0.028360877714244944,0.37647092047628317,0.0689662347854392,0.05258195532346969,0.01761534084803774,0.02743765490490358,0.0,0.19023511195429876
1307,2.0,1.0,1.0,0.0106691414740095,0.03447418759321916,0.0,0.01454462796366109,0.0,0.0,0.0,1.108481829339529,0.05833382558528757,1.140432262849417
1407,1.0,1.0,2.0,0.27014929086575784,0.23162436220834176,0.26823129467080215,0.003762827865616342,0.04946498983993752,0.05166150626884951,0.027872444544785244,0.0,0.042157868729546105,0.0
3993,1.0,0.0,0.0,0.483133999363092,0.2338021480666257,0.053929860413464654,0.016265537838913074,0.0,0.0,0.0,0.0,0.0,0.002488750846175288
1234,1.0,0.0,1.0,0.02370579320595807,0.08818916665061294,0.6822624402844911,0.01042527447340339,0.010874777893334154,0.011178857639322502,0.0,0.6056411006121062,0.006728851187839497,0.7718095327437514
5819,1.0,0.0,0.0,0.200067883895201,0.23359809028609532,0.0626514304726311,0.017514686150331433,0.008059280782094875,0.008009602564969832,0.0,0.0008751481297603136,0.036997937363372965,0.005013636120583861
802,5.0,0.0,1.0,0.07454791958153704,0.13905909813820314,0.38860220197815937,0.4215184228907529,0.031058910851473703,0.031129791667624092,0.0,0.34448124615943837,0.04767189921740907,0.0455103692077195
587,1.0,0.0,1.0,0.12197214854932246,0.17510936290771809,0.5120412092318588,0.0029903719125547643,0.02748914549169147,0.025349298908361483,0.0,0.17401549977054415,0.08706104647574893,1.4619759682868456
1027,1.0,0.0,0.0,0.061489963863880406,0.14739957316609242,0.1897169456165652,0.0671433016225583,0.02146276054323055,0.021939695012943745,0.0,0.3474798954708863,0.04527693958775489,0.03609430720586749
5375,1.0,0.0,0.0,0.12667740303193273,0.10301639331501938,0.16662667374765494,0.8225744839310798,0.0,0.0,0.0,0.3235665470733655,0.015578422048705359,0.10486795076402296
5761,1.0,0.0,0.0,0.05343702062303111,0.11941821922605489,0.005393165169704247,0.37059797076725615,0.07069758366263679,0.07044993378586849,0.0,0.4462092376571176,0.1389379506303081,0.07060801435032964
3970,1.0,0.0,0.0,0.0823629832690698,0.22737204926387067,0.0026926550213570728,0.19895951745589827,0.0,0.0,0.06959310839414863,0.0,0.02001340732537226,0.7628671224444376
2736,1.0,0.0,0.0,0.24271760844365034,0.23639026682315667,0.008804186855530497,0.06552327720320515,0.07440390265791857,0.07506882696219261,0.02211602138952862,0.0,0.0,0.1012530764744838
2717,1.0,0.0,0.0,0.19986029345501044,0.2283081003524696,0.03824300940284004,0.05954485084564689,0.02170191537046978,0.021036887669433534,0.03688292951188876,0.019560162162794638,0.0,0.045427050907091135
1338,2.0,0.0,1.0,0.006224944634149351,0.0006877011744208474,8.874813823654835e-05,0.11017566678507171,0.0,0.0,0.0,3.3582002647322593,0.18359868925046394,0.3581147345830878
5417,1.0,0.0,0.0,0.19174452545089513,0.1900186513189272,0.4078439155123383,0.5919836432153854,0.0,0.0,0.0,0.016442345419177575,0.2148897821939208,0.6136475866788274
1231,1.0,0.0,1.0,0.10024187215776184,0.15674902504638538,0.006047932665013747,0.0,0.009445026354709193,0.010104509004969888,0.5252351782486602,0.26110833149277524,0.011054992870654593,0.3084497392417502
2247,1.0,0.0,0.0,0.30377281280672214,0.23747601363408904,0.0,0.06260039028789563,0.0,0.0,0.06598450597521933,0.0,0.05319484835895305,0.04032356606955204
3266,1.0,0.0,0.0,0.30874573570361846,0.23888290627778253,0.07065372975085697,0.4053232732439298,0.0,0.0,0.0,0.009119433573741868,0.0652364760320007,0.038629920618370554
2395,1.0,0.0,0.0,0.054083482251678146,0.009944983239034401,0.12826189100814375,0.004222160573041989,0.0,0.0,0.06917134188404647,1.8449471023826822,0.127460975416191,1.077615730707479
4901,1.0,0.0,0.0,0.05527443258106864,0.09034033524616623,0.6756228002418713,0.029734847896504824,0.018908853787153027,0.018879124785351094,0.0,0.6194750645685225,0.0,0.06534733871182469
5474,1.0,0.0,0.0,0.06413391732217234,0.1632930924066973,0.040370974307729464,0.09854806035737178,0.025898569099607322,0.02583427393172614,0.0,0.2581583102852872,0.029437677534774002,0.1290443773986048
5365,1.0,0.0,0.0,0.0850722864592031,7.873463003431931e-05,0.07212805839284517,0.0035912081091597423,0.0,0.0,0.07999840799188075,4.581767527014388,0.8101808919225487,4.461968916041472
